domain,agency,organization,city,state,expires,status
PAYMAINE.GOV,Non-Federal Agency,Office of the State Treasurer,Augusta,ME,,dial tcp 52.202.93.178:443: i/o timeout
PAYMENTACCURACY.GOV,Executive Office of the President,Office of Citizen Services and Innovative Technologies,Washington,DC,30 Nov 19 18:54 EST,Expires 9 months from now (30 Nov 19)
PAYNECOUNTYOK.GOV,Non-Federal Agency,"Payne County, Oklahoma",Stillwater,OK,15 Jan 20 18:59 EST,"Error: x509: certificate is valid for rsb18.rhostbh.com, www.rsb18.rhostbh.com, not paynecountyok.gov"
PAYSONAZ.GOV,Non-Federal Agency,Town of Payson,Payson,AZ,,remote error: tls: alert(112)
PBGC.GOV,Pension Benefit Guaranty Corporation,Pension Benefit Guaranty Corporation,Washington,DC,24 Mar 20 08:00 EDT,Expires 1 year from now (24 Mar 20)
PCI-NSN.GOV,Indian Affairs,Poarch Band of Creek Indians,Atmore,AL,15 Jan 20 18:59 EST,"Error: x509: certificate is valid for rsb31.rhostbh.com, www.rsb31.rhostbh.com, not pci-nsn.gov"
PCI.GOV,Executive Office of the President,Presidential Community of Interest,Washington,DC,,dial tcp: lookup pci.gov: no such host
PCLOB.GOV,Privacy and Civil Liberties Oversight Board,Privacy & Civil Liberties Oversight Board,Washington,DC,14 Dec 20 18:59 EST,Expires 2 years from now (14 Dec 20)
PDBCECC.GOV,The Legislative Branch,Congressional-Executive Commission on China,Washington,DC,,dial tcp 208.95.153.60:443: i/o timeout
PEABODY-MA.GOV,Non-Federal Agency,City of Peabody,Peabody,MA,,read tcp 192.168.1.211:49933->184.168.27.35:443: read: connection reset by peer
PEABODYMA.GOV,Non-Federal Agency,CITY OF PEABODY,PEABODY,MA,,read tcp 192.168.1.211:49951->184.168.27.35:443: read: connection reset by peer
PEACECORPS.GOV,U.S. Peace Corps,Peace Corps,Washington,DC,16 May 19 08:00 EDT,Expires 2 months from now (16 May 19)
PEACECORPSOIG.GOV,"United States Postal Service, Office of Inspector General","Peace Corps, Office of Inspector General",Washington,DC,,dial tcp 65.242.3.37:443: i/o timeout
PEACHTREECITYGA.GOV,Non-Federal Agency,City of Peachtree City,Peachtree City,GA,20 Jan 20 19:40 EST,"Error: x509: certificate is valid for *.prod.iad2.secureserver.net, prod.iad2.secureserver.net, not peachtreecityga.gov"
PEACHTREECORNERSGA.GOV,Non-Federal Agency,CITY OF PEACHTREE CORNERS,PEACHTREE CORNERS,GA,,read tcp 192.168.1.211:49984->135.84.124.41:443: read: connection reset by peer
PEARLANDTX.GOV,Non-Federal Agency,City of Pearland,Pearland,TX,23 Oct 19 08:00 EDT,Expires 8 months from now (23 Oct 19)
PECHANGA-NSN.GOV,Indian Affairs,Pechanga Tribal Government,Temecula,CA,,dial tcp 209.203.120.75:443: i/o timeout
PECOSTX.GOV,Non-Federal Agency,Town of Pecos City,Pecos,TX,,dial tcp 162.255.119.253:443: connect: connection refused
PELHAMALABAMA.GOV,Non-Federal Agency,City of Pelham,Pelham,AL,19 Apr 19 15:33 EDT,Expires 2 months from now (19 Apr 19)
PEMBINACOUNTYND.GOV,Non-Federal Agency,Pembina County,Cavalier,ND,10 Sep 19 17:16 EDT,Expires 6 months from now (10 Sep 19)
PEMBROKE-MA.GOV,Non-Federal Agency,Town of Pembroke,Pembroke,MA,28 Apr 19 05:15 EDT,Expires 2 months from now (28 Apr 19)
PENDERCOUNTYNC.GOV,Non-Federal Agency,Pender County Government,Burgaw,NC,17 Apr 20 12:46 EDT,Expires 1 year from now (17 Apr 20)
PENNDOT.GOV,Non-Federal Agency,PA Department of Transportation,Harrisburg,PA,17 Sep 20 10:41 EDT,Error: x509: certificate signed by unknown authority
PENNSYLVANIA.GOV,Non-Federal Agency,Commonwealth of Pennsylvania,Harrisburg,PA,18 Sep 20 10:44 EDT,"Error: x509: certificate is valid for www.aging.pa.gov, aging.pa.gov, not pennsylvania.gov"
PENTAGON.GOV,Department of Defense,American Forces Information Service,Fort Meade,MD,,dial tcp: lookup pentagon.gov: no such host
PEORIAAZ.GOV,Non-Federal Agency,"City of Peoria, Arizona",Peoria,AZ,25 Oct 20 16:00 EDT,Expires 2 years from now (25 Oct 20)
PEPFAR.GOV,Department of State,Dept of State,Washington,DC,22 Jan 20 07:00 EST,Expires 11 months from now (22 Jan 20)
PEQUOT-NSN.GOV,Indian Affairs,The Mashantucket Pequot Tribal Nation,Mashantucket,CT,,dial tcp 65.118.158.27:443: i/o timeout
PEQUOTLAKES-MN.GOV,Non-Federal Agency,City of Pequot Lakes,Pequot Lakes,MN,14 Mar 19 17:49 EDT,Expires 3 weeks from now (14 Mar 19)
PERFORMANCE.GOV,General Services Administration,GSA - Office of Citizen Services Innovative Technologies - OSCIT,Washington,DC,15 Aug 20 19:59 EDT,Expires 2 years from now (15 Aug 20)
PERMITTINGROGERSAR.GOV,Non-Federal Agency,City of Rogers,Rogers,AR,19 Jul 19 19:59 EDT,Expires 5 months from now (19 Jul 19)
PERQUIMANSCOUNTYNC.GOV,Non-Federal Agency,Perquimans County,Hertford,NC,20 Apr 19 19:59 EDT,"Error: x509: certificate is valid for linux.pearsonsappraisal.com, www.linux.pearsonsappraisal.com, not perquimanscountync.gov"
PERRY-GA.GOV,Non-Federal Agency,City of Perry,Perry,GA,05 May 19 02:16 EDT,Expires 2 months from now (05 May 19)
PERRY-WI.GOV,Non-Federal Agency,Town of Perry,Mount Horeb,WI,03 Apr 19 19:59 EDT,Expires 1 month from now (03 Apr 19)
PERRYTOWNSHIP-IN.GOV,Non-Federal Agency,Perry Township ,Indianapolis,IN,02 Nov 19 08:00 EDT,"Error: x509: certificate is valid for *.weebly.com, weebly.com, not perrytownship-in.gov"
PERSONCOUNTYNC.GOV,Non-Federal Agency,PERSON COUNTY GOVERNMENT,ROXBORO,NC,,dial tcp 152.28.197.134:443: i/o timeout
PETERBOROUGHNH.GOV,Non-Federal Agency,Town of Peterborough,Peterborough,NH,,dial tcp: lookup peterboroughnh.gov: no such host
PETERSBURGAK.GOV,Non-Federal Agency,"City of Petersburg, Alaska",Petersburg,AK,,dial tcp: lookup petersburgak.gov: no such host
PETERSBURGVA.GOV,Non-Federal Agency,city of petersburg,Petersburg,VA,14 May 19 12:53 EDT,Expires 2 months from now (14 May 19)
PFLUGERVILLETX.GOV,Non-Federal Agency,City of Pflugerville,Pflugerville,TX,,read tcp 192.168.1.211:49944->135.84.124.41:443: read: connection reset by peer
PFTX.GOV,Non-Federal Agency,City of pflugerville,City of Pflugerville,TX,,dial tcp 50.63.202.49:443: i/o timeout
PHARR-TX.GOV,Non-Federal Agency,City of Pharr,Pharr,TX,10 Aug 19 19:59 EDT,Expires 5 months from now (10 Aug 19)
PHC-NSN.GOV,Indian Affairs,Passamaquoddy Health Center,Princeton,ME,18 Sep 20 15:52 EDT,"Error: x509: certificate is valid for *.prod.phx3.secureserver.net, prod.phx3.secureserver.net, not phc-nsn.gov"
PHE.GOV,Department of Health and Human Services,Assistant Secretary for Preparedness and Response,Washington,DC,05 Dec 19 17:08 EST,Expires 9 months from now (05 Dec 19)
PHILA.GOV,Non-Federal Agency,Office of Innovation and Technology,Philadelphia,PA,13 Apr 19 15:41 EDT,Expires 1 month from now (13 Apr 19)
PHILLIPSTON-MA.GOV,Non-Federal Agency,The Town Of Phillipston,Phillipston,MA,13 May 26 23:11 EDT,"Error: x509: certificate is not valid for any names, but wanted to match phillipston-ma.gov"
PHILOMATHOREGON.GOV,Non-Federal Agency,City of Philomath,Philomath,OR,,dial tcp: lookup philomathoregon.gov: no such host
PHOENIX.GOV,Non-Federal Agency,City Of Phoenix,Phoenix,AZ,20 Dec 20 07:00 EST,Expires 2 years from now (20 Dec 20)
PHOENIXOREGON.GOV,Non-Federal Agency,City of Phoenix,Phoenix,OR,23 Apr 19 23:38 EDT,Expires 2 months from now (23 Apr 19)
PIC.GOV,General Services Administration,General Services Administration,Washington,DC,12 Aug 19 08:00 EDT,Expires 5 months from now (12 Aug 19)
PICKENSCOUNTYGA.GOV,Non-Federal Agency,Pickens County Government,Jasper,GA,28 Jan 21 16:45 EST,Expires 2 years from now (28 Jan 21)
PIEDMONT-OK.GOV,Non-Federal Agency,CITY OF PIEDMONT,PIEDMONT,OK,08 May 19 19:59 EDT,Expires 2 months from now (08 May 19)
PIEDRASBLANCAS.GOV,Department of the Interior,Piedras Blancas Light Station,Sacramento,CA,27 Sep 19 08:00 EDT,"Error: x509: certificate is valid for *.blm.gov, blm.gov, www.aviation.blm.gov, www.az.blm.gov, www.birdsofprey.blm.gov, www.ca.blm.gov, www.co.blm.gov, www.fire.blm.gov, www.airtoolkit.blm.gov, www.landscape.blm.gov, fire.ak.blm.gov, afs.ak.blm.gov, www.id.blm.gov, www.idahofireinfo.blm.gov, www.glorecords.blm.gov, www.adoptahorse.blm.gov, www.mt.blm.gov, www.nm.blm.gov, www.ntc.blm.gov, www.nv.blm.gov, www.ut.blm.gov, www.wildhorseandburro.blm.gov, www.wy.blm.gov, www.ak.blm.gov, not piedrasblancas.gov"
PIERCECOUNTYGA.GOV,Non-Federal Agency,"Pierce County, Georgia",Blackshear,GA,04 Oct 20 13:39 EDT,Expires 2 years from now (04 Oct 20)
PIERCECOUNTYND.GOV,Non-Federal Agency,Pierce County,Rugby,ND,14 Jan 20 10:16 EST,"Error: x509: certificate is valid for *.taopowered.net, taopowered.net, not piercecountynd.gov"
PIERCECOUNTYWA.GOV,Non-Federal Agency,Pierce County ,Tacoma,WA,19 May 19 08:00 EDT,Expires 3 months from now (19 May 19)
PIERMONT-NY.GOV,Non-Federal Agency,Village of Piermont,Piermont,NY,19 Apr 19 19:59 EDT,Expires 2 months from now (19 Apr 19)
PIF.GOV,General Services Administration,General Service Administration,Washington,DC,14 May 19 02:31 EDT,Expires 2 months from now (14 May 19)
PIKECOUNTY-MO.GOV,Non-Federal Agency,Pike County Missouri,Bowling Green,MO,09 Mar 21 19:49 EST,"Error: x509: certificate is not valid for any names, but wanted to match pikecounty-mo.gov"
PIKECOUNTYKY.GOV,Non-Federal Agency,Pike County Fiscal Court,Pikeville,KY,08 Aug 25 14:24 EDT,"Error: x509: certificate is valid for sni.dreamhost.com, not pikecountyky.gov"
PIKEVILLEKY.GOV,Non-Federal Agency,City of Pikeville,Pikeville,KY,02 Feb 20 14:24 EST,"Error: x509: certificate is valid for egovhost2.com, www.egovhost2.com, boundbrook-nj.org, selectchicago.org, vandaliaohio.org, wilmingtonoh.org, not pikevilleky.gov"
PIKEVILLENC.GOV,Non-Federal Agency,Town of Pikeville,Pikeville,NC,11 Apr 18 10:58 EDT,Expired 10 months ago (11 Apr 18)
PILOTPOINTAK.GOV,Non-Federal Agency,City of Pilot Point,Pilot Point,AK,,remote error: tls: alert(112)
PIMA.GOV,Non-Federal Agency,Pima County Government,Tucson,AZ,,dial tcp 159.233.2.2:443: connect: connection refused
PINAL.GOV,Non-Federal Agency,Pinal County Government,Florence,AZ,,dial tcp 67.128.3.9:443: connect: connection refused
PINALCOUNTYAZ.GOV,Non-Federal Agency,Pinal County Government,Florence,AZ,,dial tcp 67.128.3.9:443: connect: connection refused
PINEBLUFFSWY.GOV,Non-Federal Agency,Town of Pine Bluffs,Pine Bluffs,WY,23 Mar 19 17:49 EDT,Expires 1 month from now (23 Mar 19)
PINECREST-FL.GOV,Non-Federal Agency,Village of Pinecrest,Pinecrest,FL,,read tcp 192.168.1.211:50032->135.84.124.41:443: read: connection reset by peer
PINELLAS.GOV,Non-Federal Agency,Pinellas County Government,Clearwater,FL,14 Dec 19 07:00 EST,"Error: x509: certificate is valid for *.pinellascounty.org, pinellascounty.org, not pinellas.gov"
PINELLASCOUNTY-FL.GOV,Non-Federal Agency,Pinellas County Government,Clearwater,FL,,dial tcp: lookup pinellascounty-fl.gov: no such host
PINELLASCOUNTYFL.GOV,Non-Federal Agency,Pinellas County Government,Clearwater,FL,,dial tcp: lookup pinellascountyfl.gov: no such host
PINEPLAINS-NY.GOV,Non-Federal Agency,Town of Pine Plains,Pine Plains,NY,09 Mar 19 03:55 EST,"Error: x509: certificate is valid for s467.sureserver.com, www.s467.sureserver.com, not pineplains-ny.gov"
PINETOPLAKESIDEAZ.GOV,Non-Federal Agency,TOWN OF PINETOP-LAKESIDE,LAKESIDE,AZ,04 Dec 19 18:59 EST,Expires 9 months from now (04 Dec 19)
PINEVILLENC.GOV,Non-Federal Agency,Town of Pineville,Pineville,NC,13 Dec 20 07:00 EST,"Error: x509: certificate is valid for www.artbyme.com, artbyme.com, not pinevillenc.gov"
PINOLEVILLE-NSN.GOV,Indian Affairs,Pinoleville Pomo Nation,Ukiah,CA,30 Apr 19 11:16 EDT,Expires 2 months from now (30 Apr 19)
PITC.GOV,Executive Office of the President,Executive Office of the President,Washington,DC,,dial tcp: lookup pitc.gov: no such host
PITTCOUNTYNC.GOV,Non-Federal Agency,County Of Pitt,Greenville,NC,31 Mar 20 15:01 EDT,"Error: x509: certificate is valid for apps.pittcountync.gov, www.apps.pittcountync.gov, not pittcountync.gov"
PITTSBORONC.GOV,Non-Federal Agency,Town of Pittsboro,Pittsboro,NC,15 Mar 19 19:19 EDT,Expires 3 weeks from now (15 Mar 19)
PITTSBURGCA.GOV,Non-Federal Agency,CITY OF PITTSBURG,PITTSBURG,CA,,dial tcp 12.237.144.229:443: connect: connection refused
PITTSBURGHPA.GOV,Non-Federal Agency,City of Pittsburgh,Pittsburgh,PA,,dial tcp 205.141.190.113:443: connect: connection refused
PITTSFIELD-MI.GOV,Non-Federal Agency,Pittsfield Charter Township,Ann Arbor,MI,11 Oct 19 19:59 EDT,Expires 7 months from now (11 Oct 19)
PITTSFIELDNH.GOV,Non-Federal Agency,Town of Pittsfield,Pittsfield,NH,20 Jan 20 19:40 EST,"Error: x509: certificate is valid for *.prod.iad2.secureserver.net, prod.iad2.secureserver.net, not pittsfieldnh.gov"
PITTSYLVANIACOUNTYVA.GOV,Non-Federal Agency,Pittsylvania County Virginia,Chatham,VA,12 Dec 19 18:59 EST,Expires 9 months from now (12 Dec 19)
PKI-LAB.GOV,General Services Administration,"GSA, Office of Information Technology Category (ITC_",Washington,DC,,dial tcp: lookup pki-lab.gov: no such host
PKI.GOV,General Services Administration,"GSA, Office of Information Technology Category (ITC)",Washington,DC,,dial tcp: lookup pki.gov: no such host
PLAINFIELDNJ.GOV,Non-Federal Agency,City Of Palinfield,Plainfield,NJ,23 Jan 21 12:16 EST,Expires 2 years from now (23 Jan 21)
PLAINLANGUAGE.GOV,General Services Administration,GSA TTS,Washington,DC,09 Apr 19 12:31 EDT,Expires 1 month from now (09 Apr 19)
PLAINVILLE-CT.GOV,Non-Federal Agency,City of Plainville,Plainville,CT,,dial tcp: lookup plainville-ct.gov: no such host
PLANCHESAPEAKEBEACHMD.GOV,Non-Federal Agency,Town of Chesapeake Beach,Chesapeake beach,MD,20 Apr 19 19:59 EDT,Expires 2 months from now (20 Apr 19)
PLANDOMEHEIGHTS-NY.GOV,Non-Federal Agency,Village of Plandome Heights,Manhasset,NY,,read tcp 192.168.1.211:50142->45.40.165.16:443: read: connection reset by peer
PLANO.GOV,Non-Federal Agency,City of Plano,Plano,TX,30 Apr 20 15:37 EDT,Expires 1 year from now (30 Apr 20)
PLATTSBURG-MO.GOV,Non-Federal Agency,City of Plattsburg,Plattsburg,MO,17 Jun 20 19:59 EDT,"Error: x509: certificate is valid for www.rutherfordcollegenc.us, rutherfordcollegenc.us, not plattsburg-mo.gov"
PLEASANTHILLCA.GOV,Non-Federal Agency,City of Pleasant Hill,Pleasant Hill,CA,,dial tcp: lookup pleasanthillca.gov: no such host
PLEASANTONTX.GOV,Non-Federal Agency,City of Pleasanton,Pleasanton,TX,,dial tcp: lookup pleasantontx.gov: no such host
PLEASANTPRAIRIEWI.GOV,Non-Federal Agency,Village of Pleasant Prairie,Pleasant Prairie,WI,28 Feb 20 11:35 EST,Expires 1 year from now (28 Feb 20)
PLEASANTVALLEY-NY.GOV,Non-Federal Agency,Town of Pleasant Valley,Pleasant Valley,NY,18 Sep 20 15:52 EDT,"Error: x509: certificate is valid for *.prod.phx3.secureserver.net, prod.phx3.secureserver.net, not pleasantvalley-ny.gov"
PLEASANTVILLE-NY.GOV,Non-Federal Agency,Village of Pleasantville,Pleasantville,NY,28 Apr 19 05:28 EDT,Expires 2 months from now (28 Apr 19)
PLOVERWI.GOV,Non-Federal Agency,Village of Plover,Plover,WI,,dial tcp: lookup ploverwi.gov: no such host
PLUMSTEAD.GOV,Non-Federal Agency,plumstead.gov,Plumsteadville,PA,,dial tcp: lookup plumstead.gov: no such host
PLYMOUTH-MA.GOV,Non-Federal Agency,Town of Plymouth,Plymouth,MA,31 Mar 19 04:41 EDT,Expires 1 month from now (31 Mar 19)
PLYMOUTHCOUNTYMA.GOV,Non-Federal Agency,Plymouth County,Plymouth,MA,05 Mar 19 18:59 EST,Expires 2 weeks from now (05 Mar 19)
PLYMOUTHMI.GOV,Non-Federal Agency,City of Plymouth,Plymouth,MI,,read tcp 192.168.1.211:50113->208.90.191.179:443: read: connection reset by peer
PLYMOUTHMN.GOV,Non-Federal Agency,City of Plymouth,Plymouth,MN,07 Nov 19 07:00 EST,Expires 8 months from now (07 Nov 19)
PMF.GOV,Office of Personnel Management,Presidential Management Fellows Program,Washington,DC,13 Aug 19 08:00 EDT,Expires 5 months from now (13 Aug 19)
PMI.GOV,U.S. Agency for International Development,President's Malaria Initiative,Washington,DC,26 Mar 19 19:59 EDT,Expires 1 month from now (26 Mar 19)
PNL.GOV,Department of Energy,Pacific Northwest National Laboratory,Richland,WA,16 Oct 20 08:00 EDT,Expires 2 years from now (16 Oct 20)
PNNL.GOV,Department of Energy,Pacific Northwest National Laboratory,Richland,WA,16 Oct 20 08:00 EDT,Expires 2 years from now (16 Oct 20)
POARCHCREEKINDIANS-NSN.GOV,Indian Affairs,Poarch Band of Creek Indians,ATMORE,AL,15 Jan 20 18:59 EST,"Error: x509: certificate is valid for rsb31.rhostbh.com, www.rsb31.rhostbh.com, not poarchcreekindians-nsn.gov"
POCOMOKEMD.GOV,Non-Federal Agency,City of Pocomoke,Pocomoke City,MD,28 Jan 20 08:40 EST,Error: x509: certificate signed by unknown authority
POCONOPA.GOV,Non-Federal Agency,Pocono Township,Tannersville,PA,28 Apr 19 05:03 EDT,Expires 2 months from now (28 Apr 19)
POKAGONBAND-NSN.GOV,Indian Affairs,Pokagon Band of Potawatomi Indians,DOWAGIAC,MI,,dial tcp: lookup pokagonband-nsn.gov: no such host
POL-NSN.GOV,Indian Affairs,Pueblo of Laguna,Laguna,NM,,dial tcp: lookup pol-nsn.gov: no such host
POLKCITYIA.GOV,Non-Federal Agency,City of Polk City,Polk City,IA,30 Dec 19 07:00 EST,Expires 10 months from now (30 Dec 19)
POLKCOUNTYIOWA.GOV,Non-Federal Agency,Polk County,Des Moines,IA,04 Jun 20 10:30 EDT,Expires 1 year from now (04 Jun 20)
POMFRETCT.GOV,Non-Federal Agency,Town of Pomfret,Pomfret Center,CT,04 Apr 19 15:58 EDT,Expires 1 month from now (04 Apr 19)
POMPANOBEACHFL.GOV,Non-Federal Agency,City of Pompano Beach,Pompano Beach,FL,01 May 19 13:16 EDT,"Error: x509: certificate is valid for aliarts.org, bacapompano.com, baileyarts.org, www.aliarts.org, www.bacapompano.com, www.baileyarts.org, not pompanobeachfl.gov"
POMPEY-NY.GOV,Non-Federal Agency,TOWN OF POMPEY,MANLIUS,NY,22 Jan 21 07:00 EST,Expires 2 years from now (22 Jan 21)
POMPTONLAKES-NJ.GOV,Non-Federal Agency,Borough of Pompton Lakes,Pompton Lakes,NJ,,read tcp 192.168.1.211:50102->192.196.0.92:443: read: connection reset by peer
PONCACITYOK.GOV,Non-Federal Agency,City of Ponca City,Ponca City,OK,12 Oct 19 19:59 EDT,Expires 7 months from now (12 Oct 19)
POOLER-GA.GOV,Non-Federal Agency,City of Pooler,Pooler,GA,14 Jun 20 10:12 EDT,Expires 1 year from now (14 Jun 20)
POOLESVILLEMD.GOV,Non-Federal Agency,Town of Poolesville,Poolesville,MD,11 Oct 19 19:59 EDT,Expires 7 months from now (11 Oct 19)
POOLSAFELY.GOV,Consumer Product Safety Commission,US Consumer Product Safety Commission,Bethesda,MD,04 Sep 19 10:31 EDT,Expires 6 months from now (04 Sep 19)
POOLSAFETY.GOV,Consumer Product Safety Commission,US Consumer Product Safety Commission,Bethesda,MD,04 Sep 19 10:31 EDT,Expires 6 months from now (04 Sep 19)
POPLARBLUFF-MO.GOV,Non-Federal Agency,City of Poplar Bluff,Poplar Bluff,MO,11 Oct 19 19:59 EDT,Expires 7 months from now (11 Oct 19)
POPLARVILLEMS.GOV,Non-Federal Agency,City of Poplarville Mississippi,Poplarvile,MS,,dial tcp 209.10.93.14:443: connect: connection refused
POQUOSON-VA.GOV,Non-Federal Agency,City of Poquoson,Poquioson,VA,,read tcp 192.168.1.211:50202->208.90.188.151:443: read: connection reset by peer
PORTAGE-MI.GOV,Non-Federal Agency,City of Portage,Portage,MI,,dial tcp: lookup portage-mi.gov: no such host
PORTAGEMI.GOV,Non-Federal Agency,City of Portage,Portage,MI,12 Jul 19 19:59 EDT,Expires 4 months from now (12 Jul 19)
PORTAGEWI.GOV,Non-Federal Agency,City of Portage,Portage,WI,22 Mar 19 09:21 EDT,Expires 1 month from now (22 Mar 19)
PORTALESNM.GOV,Non-Federal Agency,City of Portales,Portales,NM,15 May 19 09:00 EDT,"Error: x509: certificate is valid for www.portalesnm.gov, not portalesnm.gov"
PORTARTHURTX.GOV,Non-Federal Agency,City of Port Arthur,Port Arthur,TX,14 Oct 19 19:59 EDT,Expires 8 months from now (14 Oct 19)
PORTCLINTON-OH.GOV,Non-Federal Agency,City of Port Clinton,Port Clinton,OH,03 Mar 19 15:39 EST,Expires 2 weeks from now (03 Mar 19)
PORTERVILLE-CA.GOV,Non-Federal Agency,City of Porterville,Porterville,CA,,dial tcp: lookup porterville-ca.gov: no such host
PORTERVILLECA.GOV,Non-Federal Agency,City of Porterville,Porterville,CA,,dial tcp 64.18.241.48:443: i/o timeout
PORTLAND.GOV,Non-Federal Agency,City of Portland,Portland,OR,30 Apr 19 11:16 EDT,Expires 2 months from now (30 Apr 19)
PORTLANDMAINE.GOV,Non-Federal Agency,"City of Portland, Maine",Portland,ME,06 Jul 20 20:00 EDT,Expires 1 year from now (06 Jul 20)
PORTLANDOREGON.GOV,Non-Federal Agency,City of Portland,Portland,OR,17 Mar 20 08:00 EDT,Expires 1 year from now (17 Mar 20)
PORTLANDTX.GOV,Non-Federal Agency,City of Portland,Portland,TX,,dial tcp: i/o timeout
PORTSMOUTHVA.GOV,Non-Federal Agency,"City of Portsmouth, VA",Portsmouth,VA,25 May 19 19:59 EDT,Expires 3 months from now (25 May 19)
PORTSMOUTHVIRGINIA.GOV,Non-Federal Agency,"City of Portsmouth, VA",Portsmouth,VA,,dial tcp 216.54.20.109:443: i/o timeout
PORTVINCENT-LA.GOV,Non-Federal Agency,Village of Port Vincent,Port Vincent,LA,16 Jun 19 19:59 EDT,Expires 4 months from now (16 Jun 19)
POSEYCOUNTYIN.GOV,Non-Federal Agency,Posey County,Mount Vernon,IN,13 Apr 19 19:59 EDT,Expires 1 month from now (13 Apr 19)
POSTOFFICE.GOV,United States Postal Service,U. S. Postal Service,Raleigh,NC,,dial tcp 56.0.36.150:443: i/o timeout
POTEETTEXAS.GOV,Non-Federal Agency,City of Poteet,Poteet,TX,,dial tcp: lookup poteettexas.gov: no such host
POTTAWATTAMIECOUNTY-IA.GOV,Non-Federal Agency,"Pottawattamie County, Iowa",COUNCIL BLUFFS,IA,10 Jun 20 13:24 EDT,"Error: x509: certificate is valid for *.pottcounty-ia.gov, pottcounty-ia.gov, not pottawattamiecounty-ia.gov"
POTTCOUNTY-IA.GOV,Non-Federal Agency,"Pottawattamie County, Iowa",COUNCIL BLUFFS,IA,10 Jun 20 13:24 EDT,Error: x509: certificate signed by unknown authority
POTTERTWP-PA.GOV,Non-Federal Agency,Potter Township,Monaca,PA,19 Apr 19 12:47 EDT,Expires 2 months from now (19 Apr 19)
POWELLCOUNTYMT.GOV,Non-Federal Agency,Powell County Montana,Deer Lodge,MT,,remote error: tls: alert(112)
POWHATANVA.GOV,Non-Federal Agency,County of Powhatan,Powhatan,VA,,read tcp 192.168.1.211:50204->208.90.190.1:443: read: connection reset by peer
POYNETTE-WI.GOV,Non-Federal Agency,Village of Poynette ,Poynette,WI,,read tcp 192.168.1.211:50175->192.196.0.96:443: read: connection reset by peer
PPA-OR.GOV,Non-Federal Agency,Oregon State Data Center,Salem,OR,12 Apr 19 19:59 EDT,Expires 1 month from now (12 Apr 19)
PPDCECC.GOV,The Legislative Branch,Congressional-Executive Commission on China,Washington,DC,,dial tcp 208.95.153.62:443: i/o timeout
PPIRS.GOV,General Services Administration,GSA - OGP - IAE,Washington,DC,,dial tcp: lookup ppirs.gov: no such host
PPPL.GOV,Department of Energy,Princeton Plasma Physics Lab,Princeton,NJ,,dial tcp 198.125.224.168:443: i/o timeout
PPPO.GOV,Department of Energy,Portsmouth/Paducah Project Office,Lexington,KY,,dial tcp: lookup pppo.gov: no such host
PR.GOV,Non-Federal Agency,Puerto Rico Office of Management and Budget,San Juan,PR,,dial tcp 104.209.158.250:443: i/o timeout
PRACOMMENT.GOV,Department of the Treasury,Office of the Chief Information Officer (OCIO),Washington,DC,,dial tcp: lookup pracomment.gov: no such host
PRAIRIEDUCHIEN-WI.GOV,Non-Federal Agency,City of Prairie du Chien,Prairie du Chien,WI,,dial tcp 64.68.202.11:443: i/o timeout
PRAIRIEVIEWTEXAS.GOV,Non-Federal Agency,City of Prairie View,Prairie View,TX,,read tcp 192.168.1.211:50196->184.154.61.162:443: read: connection reset by peer
PRATTVILLE-AL.GOV,Non-Federal Agency,City of Prattville,Prattville,AL,,dial tcp 72.51.38.232:443: i/o timeout
PRATTVILLEAL.GOV,Non-Federal Agency,City of Prattville,Prattville,AL,08 May 19 20:14 EDT,Expires 2 months from now (08 May 19)
PRC.GOV,Postal Regulatory Commission,Postal Regulatory Commission,Washington,DC,03 Jun 19 14:59 EDT,Expires 3 months from now (03 Jun 19)
PREGUNTELEAKAREN.GOV,U.S. Department of Agriculture,USDA/FSIS,Washington,DC,28 Sep 20 15:36 EDT,Expires 2 years from now (28 Sep 20)
PREPRODFAN.GOV,Department of State,US Department of State,Washington,DC,,dial tcp: lookup preprodfan.gov: no such host
PRESCOTT-AZ.GOV,Non-Federal Agency,City of Prescott,Prescott,AZ,,dial tcp 63.229.103.71:443: i/o timeout
PRESCOTTVALLEY-AZ.GOV,Non-Federal Agency,Town of Prescott Valley,Prescott Valley,AZ,,read tcp 192.168.1.211:50172->208.90.190.1:443: read: connection reset by peer
PRESERVEAMERICA.GOV,Advisory Council on Historic Preservation,ACHP,Washington,DC,,dial tcp 216.146.46.11:443: i/o timeout
PRESIDENTIALDOCUMENTS.GOV,Government Publishing Office,U.S. Government Publishing Office,Washington,DC,30 Jan 20 07:00 EST,Expires 11 months from now (30 Jan 20)
PRESIDENTIALINNOVATIONFELLOWS.GOV,General Services Administration,General Service Administration,Washington,DC,19 Apr 19 01:31 EDT,Expires 2 months from now (19 Apr 19)
PRESIDENTIALSERVICEAWARDS.GOV,Corporation for National & Community Service,Corporation for National & Community Service,Washington,DC,20 Jun 19 08:00 EDT,Expires 4 months from now (20 Jun 19)
PRESIDIO.GOV,Presidio Trust,Presidio Trust,San Francisco,CA,10 Oct 20 16:34 EDT,Expires 2 years from now (10 Oct 20)
PRESIDIOTRUST.GOV,Presidio Trust,Presidio Trust,San Francisco,CA,,dial tcp: lookup presidiotrust.gov: no such host
